Country,State,City,Locality,Area_Type,Plot_Size_sqft,Builtup_Area_sqft,Carpet_Area_sqft,Floors,Floor_Number,Bedrooms,Bathrooms,Balconies,Living_Rooms,Dining_Room,Kitchens,Study_Room,Office_Room,Parking,Garden,Swimming_Pool,Terrace,Basement,Lift,Property_Age_years,Facing_Direction,Furnishing,Smart_Home,Solar_Panels,EV_Charging,Security_System,Water_Supply,Power_Backup,School_Dist_km,Hospital_Dist_km,Metro_Dist_km,Airport_Dist_km,School_Index,Hospital_Index,Transit_Index,Safety_Score,Green_Space_Score,AQI,Price_INR
India,West Bengal,Howrah,Shibpur,Super Built-up,2444,1767,1524,30,2,3,3,1,1,1,1,0,0,1,0,0,0,0,1,11,North,Unfurnished,1,0,0,0,Corporation + Borewell,Full,2.59,2.6,7.87,48.01,7.9,8.7,7.6,8.8,7.1,132,11230000
India,Rajasthan,Udaipur,Hiran Magri,Plot Area,1327,1063,891,20,2,2,2,0,1,1,1,1,0,1,1,0,0,0,1,17,East,Semi-Furnished,0,1,1,0,Corporation + Borewell,Full,0.47,2.29,3.23,36.28,9.6,8.9,9.0,8.7,5.6,104,13960000
India,Rajasthan,Jaipur,Sanganer Village,Plot Area,1002,834,713,2,1,1,2,2,1,1,1,1,0,2,1,0,1,1,0,11,East,Unfurnished,0,1,0,1,Borewell Only,Partial,7.71,7.67,34.64,42.98,3.8,6.2,1.0,9.7,9.4,64,2260000
India,West Bengal,Kolkata,Salt Lake,Plot Area,892,642,518,4,1,1,1,2,1,0,1,0,0,0,1,0,0,1,1,12,North-West,Semi-Furnished,1,1,0,1,24/7 Supply,Full,0.75,2.46,7.27,36.33,9.4,8.8,7.8,8.1,4.0,116,7080000
India,Gujarat,Vadodara,Alkapuri,Super Built-up,1949,1514,1298,20,3,3,3,2,1,1,1,0,0,1,0,0,0,0,1,1,South,Unfurnished,0,1,0,0,Corporation + Borewell,Full,2.35,3.76,0.83,42.18,8.1,8.1,9.8,6.8,7.6,135,36760000
India,Gujarat,Vadodara,Vasna Road,Super Built-up,2187,1523,1320,4,1,3,3,0,1,1,1,0,0,1,1,0,1,0,1,10,South,Semi-Furnished,0,0,1,0,Corporation + Borewell,Partial,2.35,3.41,2.09,25.59,8.1,8.3,9.4,8.9,8.1,161,19540000
India,Delhi NCR,Noida,Yamuna Expressway Village,Plot Area,3193,2073,1674,2,1,3,4,2,1,1,1,0,0,2,1,0,0,0,0,17,East,Semi-Furnished,0,1,1,0,Borewell Only,Partial,3.99,8.53,41.13,58.98,6.8,5.7,1.0,9.5,8.8,56,8530000
India,Delhi NCR,Gurugram,Sohna Village,Plot Area,2032,1394,1177,2,2,2,2,3,1,1,1,0,0,0,1,0,1,1,0,16,South,Fully-Furnished,0,1,1,1,Borewell Only,Full,1.66,18.78,29.99,78.0,8.7,1.0,1.0,9.7,9.4,41,8340000
India,West Bengal,Kolkata,Ballygunge,Super Built-up,2640,2131,1766,20,1,3,3,3,1,1,1,0,1,1,1,1,0,0,1,9,South-East,Semi-Furnished,0,1,0,0,Corporation + Borewell,Partial,2.7,4.36,6.41,73.4,7.8,7.8,8.1,7.1,5.7,75,33460000
India,Gujarat,Vadodara,Alkapuri,Super Built-up,3951,3251,2767,10,6,5,5,2,1,1,1,0,1,0,0,0,0,0,1,19,South-West,Fully-Furnished,0,0,1,0,Corporation + Borewell,Partial,1.23,1.51,0.83,45.7,9.0,9.2,9.8,8.2,4.3,206,41810000
India,Gujarat,Ahmedabad,Bopal,Super Built-up,4341,3174,2621,4,2,5,5,1,2,1,1,0,0,3,0,0,1,0,1,20,South-East,Semi-Furnished,0,1,0,1,Corporation + Borewell,Full,1.69,3.94,4.12,71.39,8.6,8.0,8.8,8.1,4.7,71,44450000
India,Maharashtra,Nashik,Panchavati,Plot Area,2752,1801,1463,4,2,3,3,3,1,1,1,0,0,0,1,0,0,0,1,7,West,Fully-Furnished,0,1,0,0,24/7 Supply,Full,3.77,0.72,3.46,78.05,7.0,9.6,9.0,7.8,5.9,150,54770000
India,Delhi NCR,Faridabad,Ballabhgarh Village,Plot Area,2131,1381,1111,2,1,2,2,2,1,1,1,1,0,1,1,0,0,0,0,12,North-East,Unfurnished,0,1,0,1,Borewell Only,Partial,5.23,19.27,38.69,48.95,5.8,1.0,1.0,8.6,7.2,30,9260000
